republican,incumbent,marriage_perception,marriage_opinion,religexempt_perception,religexempt_opinion,gunsbanassault_perception,gunsbanassault_opinion
0,0,25,50,80,45,,56
0,0,25,47,45,50,,45
1,1,45,70,60,36,70,73
1,0,40,54,50,43,60,58
1,1,5,60,60,42,,62
0,1,60,57,50,41,50,64
1,1,50,48,50,49,,46
0,1,80,63,30,40,10,58
1,1,60,,60,,,
0,0,30,46,40,48,30,57
0,0,50,65,40,37,5,63
1,1,60,59,45,41,45,55
1,0,40,58,50,41,35,57
0,0,70,64,25,36,,70
0,1,80,62,40,32,,73
0,0,20,45,60,48,30,52
0,0,10,52,80,48,10,57
0,0,55,67,30,38,,71
1,0,30,67,65,37,35,70
0,0,65,66,25,34,60,67
1,0,5,38,90,50,,50
1,1,20,50,60,49,,49
0,0,75,63,15,44,40,63
0,0,30,47,80,49,,45
1,0,60,62,40,40,,57
0,0,70,53,50,42,85,59
0,0,60,58,40,43,40,64
0,0,33,44,45,49,40,53
0,1,70,57,35,41,35,55
0,0,70,55,50,42,30,60
0,0,51,60,60,41,,66
0,1,30,61,40,39,,65
0,1,40,45,50,46,20,53
1,0,20,47,20,49,10,47
0,1,54,55,40,41,50,59
0,1,75,63,40,34,60,62
1,1,15,54,20,46,5,51
0,0,80,77,20,32,60,71
0,1,67,66,30,33,,65
1,0,20,39,90,53,1,51
1,0,55,67,40,35,,63
1,0,70,,50,,,
1,0,65,64,48,36,,68
0,1,,63,25,36,,61
0,1,,47,0,34,67,69
1,0,50,71,50,30,,70
0,0,70,62,30,40,90,60
0,0,70,42,5,50,40,54
1,1,85,42,75,49,45,48
1,0,15,44,65,52,,42
1,0,1,37,99,57,0,43
1,0,60,57,50,42,,64
1,1,35,51,55,44,,58
1,0,60,60,75,37,75,64
0,0,70,72,30,34,,67
0,1,80,51,27,45,,60
0,1,35,44,55,50,,52
0,0,8,50,45,40,30,64
1,0,50,63,75,38,8,61
0,0,65,63,25,38,,61
1,1,15,47,70,43,9,60
1,0,10,56,75,29,,76
0,1,50,63,25,36,,62
0,1,60,58,35,39,,55
1,0,45,65,35,42,45,60
1,1,15,50,60,50,25,53
0,1,5,70,5,35,5,71
1,0,10,45,85,53,,50
0,0,48,51,20,45,,59
0,0,60,58,30,41,,64
0,0,30,38,45,50,30,53
0,0,50,48,35,51,,51
1,1,20,52,60,49,,56
1,1,35,55,60,43,,55
0,0,40,50,40,47,35,54
1,0,60,72,30,34,40,70
0,0,30,52,30,48,10,50
1,1,50,72,60,36,40,66
1,0,20,51,40,47,25,50
0,1,65,70,65,34,,71
0,0,60,63,40,36,,69
0,0,40,49,50,49,,48
0,0,45,56,40,42,,56
0,0,10,51,90,50,10,46
0,1,50,56,25,40,25,60
0,0,45,55,55,42,,60
1,0,30,69,30,31,20,71
0,0,11,56,80,47,5,54
1,0,70,66,,35,50,72
0,0,70,60,40,36,60,69
0,0,50,62,40,44,,56
0,0,20,51,80,49,3,50
1,0,80,71,10,32,,69
0,1,70,73,40,23,,73
1,0,80,62,40,32,,71
0,0,50,48,50,47,,57
0,0,50,64,30,37,30,61
0,1,50,51,50,42,,58
0,0,65,73,30,36,75,69
1,1,28,51,70,43,60,58
1,0,40,67,,25,,81
0,1,40,42,75,47,,57
0,1,60,63,60,36,,67
1,1,25,56,,42,35,54
0,0,50,61,40,40,70,67
0,0,35,58,45,39,,58
0,0,50,48,60,49,15,55
1,0,50,66,50,37,40,62
1,0,50,46,50,48,25,53
1,1,50,55,50,47,30,57
0,0,15,51,90,52,30,48
1,0,35,65,55,35,,71
0,0,50,69,50,36,,71
0,1,60,54,40,40,40,62
0,0,40,49,40,46,40,59
1,0,,64,100,34,0,65
0,1,80,61,10,35,80,70
1,0,30,57,55,43,,53
0,1,75,72,50,32,30,71
0,0,1,43,99,55,1,41
0,0,30,52,15,45,,48
0,1,90,57,85,45,65,52
0,0,65,64,65,31,80,72
1,0,45,48,80,50,1,47
0,0,35,52,65,46,,60
0,1,70,,50,,50,
1,0,45,51,50,46,25,57
1,0,60,60,35,40,50,59
0,1,70,73,30,29,,73
0,0,70,69,25,32,,67
1,0,50,65,50,37,20,63
0,1,80,67,75,34,,65
0,0,30,53,25,45,,50
1,0,85,75,10,33,,69
1,0,70,60,80,38,15,60
0,0,55,66,45,40,,60
1,0,20,35,20,44,,60
0,0,70,53,30,44,25,64
1,1,60,41,60,52,45,53
0,1,70,64,20,38,,62
1,0,50,53,75,46,25,55
0,1,65,65,40,39,85,63
1,1,20,40,85,52,,54
1,0,35,53,65,46,,63
0,1,58,60,45,39,,57
1,1,50,52,30,49,,56
1,1,55,50,55,50,35,55
0,0,50,62,40,33,,74
0,1,40,54,60,45,40,59
0,1,60,64,50,36,55,68
1,0,2,50,90,45,50,56
0,0,60,62,10,25,,80
0,1,55,59,35,39,,58
0,1,75,67,35,36,,65
0,1,80,45,40,47,50,52
1,1,20,54,20,45,,57
0,0,40,42,50,48,75,56
1,1,50,74,55,35,,68
1,0,52,66,55,39,,64
0,0,90,65,25,40,50,62
0,1,60,68,35,34,65,74
1,1,3,38,40,50,2,55
1,0,30,54,60,43,,61
0,0,40,55,70,44,15,61
0,0,10,61,10,44,10,58
1,1,15,42,75,48,15,56
0,1,70,71,30,31,60,71
0,0,20,38,20,49,10,51
0,1,55,57,45,44,,55
0,0,50,52,30,43,60,58
0,1,90,61,10,37,,60
1,1,50,58,90,41,,57
0,0,35,49,60,48,,47
0,1,60,60,45,38,,66
0,0,46,51,20,44,52,56
0,1,90,65,10,36,60,61
1,0,40,55,75,46,,58
0,0,40,46,40,41,,62
0,1,66,68,10,29,85,66
1,0,20,45,80,49,,55
0,0,50,51,50,46,50,56
0,0,60,53,50,50,,48
1,0,20,49,90,50,,51
0,0,75,68,50,37,,66
