vvweight_post,person_of_color,college,female,medicare_expand,vote_wait,votereg_problem
.60436173,0,0,1,1,,0
1.3509323,0,0,0,1,,0
.29886644,0,0,1,1,,0
.83209618,0,0,0,1,,0
.95061072,0,0,1,0,,0
.55627613,0,0,1,1,,0
1.8235347,0,0,0,0,,0
.55627613,0,0,1,1,,0
.34692923,1,1,1,1,,0
1.2687089,0,1,1,1,,0
.48756291,1,1,0,1,,0
.536694,0,0,1,1,,0
.40708667,1,1,1,1,,0
1.6421631,1,0,0,0,,
.5754594,0,0,0,1,,0
.31185551,0,0,1,1,,0
.4969775,1,0,1,1,15,0
.84722849,0,1,1,1,,0
.93077888,0,1,1,1,,0
.53664765,0,0,1,1,,0
.36034252,0,0,0,1,0,0
.99271142,0,0,1,0,,0
.63979904,0,0,1,1,5,0
.45459926,0,0,1,1,,0
.57391088,0,1,1,1,0,0
.61595153,0,0,1,0,,0
.32119599,0,0,1,1,,0
.75890681,0,0,1,1,,0
.87648993,0,1,1,1,,0
.47055527,0,1,0,1,,0
.52990153,0,0,1,1,,0
1.0540986,0,1,1,1,,0
1.9230344,0,1,1,1,,0
1.0177789,0,1,0,1,,0
.36893129,0,1,1,1,,0
.43052339,0,0,1,1,,0
.62500384,0,1,1,1,,0
2.0836855,0,0,0,0,,1
.5982435,1,1,1,1,,0
.83927151,0,0,1,0,,0
.74130825,0,0,1,1,,0
.52990153,0,0,1,1,,0
.44642116,0,1,0,0,,0
1.3561677,0,0,1,0,5,0
.53978556,0,0,1,1,,0
.28714932,1,0,1,1,,1
1.1312578,0,1,0,1,,0
.09672199,0,0,0,1,,0
.35921911,0,1,0,0,,0
.58170859,0,0,0,1,,0
.52990153,0,0,1,1,,0
1.4319663,0,1,1,1,,0
.8862654,1,1,1,1,5,0
.72730106,0,0,0,0,,0
.92286227,1,0,1,1,,0
.40997593,0,0,1,1,,0
.46428969,0,0,1,1,,0
1.3767667,1,0,1,1,,0
1.507065,0,0,0,0,,0
1.040077,0,1,0,1,15,0
2.6493682,0,0,1,1,,0
.23842774,0,0,1,0,,0
1.0667068,0,0,1,1,,0
.8492921,0,0,0,0,15,0
.5982435,1,1,1,1,,0
.74191358,1,0,1,1,,0
.55895685,0,0,1,1,,1
.46882877,0,0,1,0,,1
1.8815824,0,0,1,0,,
.84621011,1,1,0,1,,0
.51272036,0,0,1,1,5,0
1.2309264,0,0,0,0,0,0
.74757183,0,1,1,1,,0
1.3037338,1,1,0,0,45,0
.75163112,0,0,0,1,,0
.2831881,1,1,0,1,,0
.39698331,0,1,1,1,,0
1.2135895,1,0,1,0,,0
.44314531,1,1,0,1,,0
.83927151,0,0,1,0,,0
.99889521,0,0,0,1,,0
.67538614,0,0,0,0,,0
.72730106,0,0,0,0,,0
.57270062,0,0,1,0,,0
1.2195796,1,0,1,1,0,0
.55895685,0,0,1,1,,0
.53289249,0,0,1,1,,0
1.1326401,0,0,0,0,,0
.50868176,0,0,1,1,,0
.87880936,1,1,0,1,,0
1.0422201,0,1,0,1,,0
1.1691761,1,1,0,1,,0
.00012347,1,1,1,0,,0
.45427341,0,0,1,1,,0
.82713838,1,0,1,1,,0
.28808475,1,0,1,1,,0
1.3605094,1,1,0,1,,0
2.0698843,0,1,0,1,,0
.74757183,0,1,1,1,,0
1.1677146,1,0,1,1,,0
.75163112,0,0,0,1,,0
.35911699,0,1,0,1,,0
1.2734306,0,0,1,0,,0
.74702092,0,1,1,1,,0
.70077425,1,0,0,0,,0
.5638077,0,0,1,1,,0
.99889521,0,0,0,1,,0
.47542193,1,0,1,1,,0
.47818477,0,0,1,1,,0
.55168331,0,1,1,0,,0
.29857251,1,1,1,1,,0
.68090749,0,1,1,1,,0
.61762778,1,1,1,0,,0
.51798843,0,1,0,1,,0
.68128894,1,1,1,1,,0
.78432517,1,1,1,1,,0
.25561464,1,1,0,1,,0
.41125444,0,0,1,1,,0
.3846456,0,1,0,1,0,0
.38056922,1,1,1,0,,0
.56945711,0,1,0,1,,0
.72169544,1,1,1,1,,0
.60456725,0,1,1,1,5,0
.46659073,0,1,0,0,,0
.25352476,1,1,1,0,,0
.33481521,0,0,0,1,,0
.50631759,0,1,0,1,,0
.29261862,0,1,0,1,,0
.4974321,1,0,1,1,,0
1.1514457,0,0,0,0,,0
.81843348,0,1,1,1,15,0
.83843654,0,0,1,1,,0
1.4550021,0,1,1,0,0,0
.22799235,1,0,1,1,,0
.80341518,0,1,0,1,,0
.65761034,0,1,1,1,,0
.38218621,0,1,0,1,,0
.99698931,0,1,1,0,,0
.88886891,0,0,1,0,0,0
.53985226,0,1,0,0,,0
1.5048442,0,1,0,1,,0
.84903038,0,1,1,0,,0
.46121944,0,0,1,1,,0
.5166607,0,1,1,1,,0
1.0918016,0,1,0,1,,0
.65930358,1,0,0,1,,0
1.229404,0,0,0,0,,0
1.0573184,0,1,0,1,,0
.42375259,0,1,0,1,,0
